module,subbase_thickness_in,pavement_thickness_in,fe3_psi,axle_load_kip,wheel_load_kip,tire_pressure_psi,subbase_material,k_eff_pci,radius_relative_stiffness_in,contact_radius_in,equivalent_resisting_radius_b_in,edge_stress_psi,Mu_kip_in_per_ft,concrete_MR_psi,Re3_decimal,Re3_percent,tufstrand_dosage_lb_per_cy,Mcr_kip_in_per_ft,Mn_FRC_kip_in_per_ft,Mtotal_FRC_kip_in_per_ft,phi_FRC,phi_Mtotal_FRC_kip_in_per_ft,demand_capacity_ratio,cracking_ratio,parking_lot_area_sf,roadway_area_sf,total_area_sf,concrete_volume_cy_total,subbase_volume_cy_total,fe3_psi_for_lcc_lca_mapping,fiber_quantity_note,feasible,warnings
FRC,6,8,200,19.0,9.5,100.0,#57 stone,120.0,34.3413966568967,5.499039842323396,5.201089693986001,308.87997496461526,39.536636795470756,650.0,0.3076923076923077,30.76923076923077,4.9,83.2,25.6,108.80000000000001,1.0,108.80000000000001,0.36338820584072384,0.4751999614840235,45000.0,41000.0,86000.0,2123.456790123457,1592.5925925925926,200,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,6,8,250,19.0,9.5,100.0,#57 stone,120.0,34.3413966568967,5.499039842323396,5.201089693986001,308.87997496461526,39.536636795470756,650.0,0.38461538461538464,38.46153846153847,6.4,83.2,32.0,115.2,1.0,115.2,0.3431999721829059,0.4751999614840235,45000.0,41000.0,86000.0,2123.456790123457,1592.5925925925926,250,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,6,8,300,19.0,9.5,100.0,#57 stone,120.0,34.3413966568967,5.499039842323396,5.201089693986001,308.87997496461526,39.536636795470756,650.0,0.46153846153846156,46.15384615384615,7.9,83.2,38.4,121.6,1.0,121.6,0.32513681575222664,0.4751999614840235,45000.0,41000.0,86000.0,2123.456790123457,1592.5925925925926,300,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,6,8,350,19.0,9.5,100.0,#57 stone,120.0,34.3413966568967,5.499039842323396,5.201089693986001,308.87997496461526,39.536636795470756,650.0,0.5384615384615384,53.84615384615385,9.4,83.2,44.8,128.0,1.0,128.0,0.3088799749646153,0.4751999614840235,45000.0,41000.0,86000.0,2123.456790123457,1592.5925925925926,350,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,6,8,400,19.0,9.5,100.0,#57 stone,120.0,34.3413966568967,5.499039842323396,5.201089693986001,308.87997496461526,39.536636795470756,650.0,0.6153846153846154,61.53846153846154,10.9,83.2,51.2,134.4,1.0,134.4,0.294171404728205,0.4751999614840235,45000.0,41000.0,86000.0,2123.456790123457,1592.5925925925926,400,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,6,10,100,19.0,9.5,100.0,#57 stone,120.0,40.59760966213721,5.499039842323396,5.431260308356283,209.39372242415251,41.878744484830506,650.0,0.15384615384615385,15.384615384615385,3.0,130.0,20.0,150.0,1.0,150.0,0.27919162989887003,0.32214418834485004,45000.0,41000.0,86000.0,2654.320987654321,1592.5925925925926,100,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,6,10,150,19.0,9.5,100.0,#57 stone,120.0,40.59760966213721,5.499039842323396,5.431260308356283,209.39372242415251,41.878744484830506,650.0,0.23076923076923078,23.076923076923077,3.4,130.0,30.0,160.0,1.0,160.0,0.26174215303019066,0.32214418834485004,45000.0,41000.0,86000.0,2654.320987654321,1592.5925925925926,150,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,6,10,200,19.0,9.5,100.0,#57 stone,120.0,40.59760966213721,5.499039842323396,5.431260308356283,209.39372242415251,41.878744484830506,650.0,0.3076923076923077,30.76923076923077,4.9,130.0,40.0,170.0,1.0,170.0,0.24634555579312062,0.32214418834485004,45000.0,41000.0,86000.0,2654.320987654321,1592.5925925925926,200,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,6,10,250,19.0,9.5,100.0,#57 stone,120.0,40.59760966213721,5.499039842323396,5.431260308356283,209.39372242415251,41.878744484830506,650.0,0.38461538461538464,38.46153846153847,6.4,130.0,50.0,180.0,1.0,180.0,0.2326596915823917,0.32214418834485004,45000.0,41000.0,86000.0,2654.320987654321,1592.5925925925926,250,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,6,10,300,19.0,9.5,100.0,#57 stone,120.0,40.59760966213721,5.499039842323396,5.431260308356283,209.39372242415251,41.878744484830506,650.0,0.46153846153846156,46.15384615384615,7.9,130.0,60.0,190.0,1.0,190.0,0.22041444465700266,0.32214418834485004,45000.0,41000.0,86000.0,2654.320987654321,1592.5925925925926,300,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,6,10,350,19.0,9.5,100.0,#57 stone,120.0,40.59760966213721,5.499039842323396,5.431260308356283,209.39372242415251,41.878744484830506,650.0,0.5384615384615384,53.84615384615385,9.4,130.0,70.0,200.0,1.0,200.0,0.20939372242415252,0.32214418834485004,45000.0,41000.0,86000.0,2654.320987654321,1592.5925925925926,350,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,6,10,400,19.0,9.5,100.0,#57 stone,120.0,40.59760966213721,5.499039842323396,5.431260308356283,209.39372242415251,41.878744484830506,650.0,0.6153846153846154,61.53846153846154,10.9,130.0,80.0,210.0,1.0,210.0,0.19942259278490718,0.32214418834485004,45000.0,41000.0,86000.0,2654.320987654321,1592.5925925925926,400,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,6,12,100,19.0,9.5,100.0,#57 stone,120.0,46.546432238898426,5.499039842323396,5.77022359949313,150.4076490927939,43.31740293872463,650.0,0.15384615384615385,15.384615384615385,3.0,187.2,28.8,216.0,1.0,216.0,0.20054353212372517,0.2313963832196829,45000.0,41000.0,86000.0,3185.185185185185,1592.5925925925926,100,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
