module,subbase_thickness_in,pavement_thickness_in,bar_size,bar_spacing_in,axle_load_kip,wheel_load_kip,tire_pressure_psi,subbase_material,k_eff_pci,radius_relative_stiffness_in,contact_radius_in,equivalent_resisting_radius_b_in,edge_stress_psi,Mu_kip_in_per_ft,As_per_ft_in2,effective_depth_in,a_in,Mn_kip_in_per_ft,phi_Mn_kip_in_per_ft,Mcr_kip_in_per_ft,demand_capacity_ratio,cracking_ratio,epsilon_t,reinforcement_directions,parking_lot_area_sf,roadway_area_sf,total_area_sf,concrete_volume_cy_total,subbase_volume_cy_total,class_a_lap_length_in,rebar_stock_length_ft,parking_lot_reinforcement_directions,roadway_reinforcement_directions,parking_lot_rebar_length_ft,roadway_rebar_length_ft,total_rebar_length_ft_with_laps,parking_lot_longitudinal_bar_count,parking_lot_transverse_bar_count,roadway_longitudinal_bar_count,roadway_transverse_bar_count,roadway_longitudinal_splices_per_bar,roadway_transverse_splices_per_bar,parking_lot_longitudinal_splices_per_bar,parking_lot_transverse_splices_per_bar,steel_weight_lb_total,steel_weight_ton_total,feasible,warnings
SRC,10,6,#4,6,19.0,9.5,100.0,#57 stone,140.0,26.630370211515178,5.499039842323396,5.136027579968186,485.7391357571253,34.973217774513024,0.4000000000000001,2.75,0.5228758169934641,59.72549019607844,53.75294117647059,46.8,0.6506289146057358,0.7472909780878851,0.010016953124999999,2.0,45000.0,41000.0,86000.0,1592.5925925925926,2654.320987654321,26.83281572999748,40.0,2.0,1.0,189193.02579202416,88725.61814095205,277918.6439329762,301.0,601.0,41.0,0.0,51.0,0.0,7.0,3.0,189139.07712105327,94.56953856052664,True,
SRC,10,6,#4,8,19.0,9.5,100.0,#57 stone,140.0,26.630370211515178,5.499039842323396,5.136027579968186,485.7391357571253,34.973217774513024,0.30000000000000004,2.75,0.39215686274509814,45.97058823529412,41.373529411764714,46.8,0.8453041901851444,0.7472909780878851,0.014355937499999997,2.0,45000.0,41000.0,86000.0,1592.5925925925926,2654.320987654321,26.83281572999748,40.0,2.0,1.0,142012.85951396188,67085.22347242717,209098.08298638905,226.0,451.0,31.0,0.0,51.0,0.0,7.0,3.0,142302.86203240367,71.15143101620184,True,
SRC,10,6,#5,6,19.0,9.5,100.0,#57 stone,140.0,26.630370211515178,5.499039842323396,5.136027579968186,485.7391357571253,34.973217774513024,0.62,2.6875,0.8104575163398693,84.90049019607844,76.41044117647058,46.8,0.45770207887875,0.7472909780878851,0.005207169858870968,2.0,45000.0,41000.0,86000.0,1592.5925925925926,2654.320987654321,33.54101966249685,40.0,2.0,1.0,191378.78224003024,89894.52267619007,281273.3049162203,301.0,601.0,41.0,0.0,51.0,0.0,7.0,3.0,296704.27094981854,148.35213547490926,True,
SRC,10,6,#5,8,19.0,9.5,100.0,#57 stone,140.0,26.630370211515178,5.499039842323396,5.136027579968186,485.7391357571253,34.973217774513024,0.46499999999999997,2.6875,0.6078431372549019,66.50183823529412,59.8516544117647,46.8,0.5843316800218398,0.7472909780878851,0.007942893145161292,2.0,45000.0,41000.0,86000.0,1592.5925925925926,2654.320987654321,33.54101966249685,40.0,2.0,1.0,143653.57439245237,67969.02934053396,211622.60373298632,226.0,451.0,31.0,0.0,51.0,0.0,7.0,3.0,223232.4549100043,111.61622745500216,True,
SRC,10,6,#5,10,19.0,9.5,100.0,#57 stone,140.0,26.630370211515178,5.499039842323396,5.136027579968186,485.7391357571253,34.973217774513024,0.372,2.6875,0.48627450980392156,54.558176470588236,49.102358823529414,46.8,0.7122512769743796,0.7472909780878851,0.010678616431451614,2.0,45000.0,41000.0,86000.0,1592.5925925925926,2654.320987654321,33.54101966249685,40.0,2.0,1.0,115018.44968390564,54813.733339140286,169832.18302304592,181.0,361.0,25.0,0.0,51.0,0.0,7.0,3.0,179149.36528611582,89.57468264305791,True,
SRC,10,6,#5,12,19.0,9.5,100.0,#57 stone,140.0,26.630370211515178,5.499039842323396,5.136027579968186,485.7391357571253,34.973217774513024,0.31,2.6875,0.40522875816993464,46.2188725490196,41.596985294117644,46.8,0.8407632795316706,0.7472909780878851,0.013414339717741934,2.0,45000.0,41000.0,86000.0,1592.5925925925926,2654.320987654321,33.54101966249685,40.0,2.0,1.0,95928.36654487449,46043.53600487784,141971.90254975233,151.0,301.0,21.0,0.0,51.0,0.0,7.0,3.0,149760.63887019013,74.88031943509506,True,
SRC,10,6,#6,6,19.0,9.5,100.0,#57 stone,140.0,26.630370211515178,5.499039842323396,5.136027579968186,485.7391357571253,34.973217774513024,0.88,2.625,1.1503267973856208,108.23137254901962,97.40823529411766,46.8,0.3590375872113249,0.7472909780878851,0.0026478515625000007,2.0,45000.0,41000.0,86000.0,1592.5925925925926,2654.320987654321,40.249223594996224,40.0,2.0,1.0,193564.53868803626,91063.42721142809,284627.9658994643,301.0,601.0,41.0,0.0,51.0,0.0,7.0,3.0,426151.31561058684,213.07565780529342,True,Section may not be tension-controlled; phi = 0.90 should be reviewed.
SRC,10,6,#6,8,19.0,9.5,100.0,#57 stone,140.0,26.630370211515178,5.499039842323396,5.136027579968186,485.7391357571253,34.973217774513024,0.66,2.625,0.8627450980392157,86.86764705882352,78.18088235294117,46.8,0.4473372098389643,0.7472909780878851,0.00453046875,2.0,45000.0,41000.0,86000.0,1592.5925925925926,2654.320987654321,40.249223594996224,40.0,2.0,1.0,145294.28927094283,68852.83520864075,214147.12447958358,226.0,451.0,31.0,0.0,51.0,0.0,7.0,3.0,320625.833595821,160.3129167979105,True,Section may not be tension-controlled; phi = 0.90 should be reviewed.
SRC,10,6,#6,10,19.0,9.5,100.0,#57 stone,140.0,26.630370211515178,5.499039842323396,5.136027579968186,485.7391357571253,34.973217774513024,0.528,2.625,0.6901960784313725,72.22729411764705,65.00456470588234,46.8,0.5380117216806507,0.7472909780878851,0.0064130859375,2.0,45000.0,41000.0,86000.0,1592.5925925925926,2654.320987654321,40.249223594996224,40.0,2.0,1.0,116332.13962068676,55526.48000696835,171858.6196276551,181.0,361.0,25.0,0.0,51.0,0.0,7.0,3.0,257310.54438696138,128.6552721934807,True,
SRC,10,6,#6,12,19.0,9.5,100.0,#57 stone,140.0,26.630370211515178,5.499039842323396,5.136027579968186,485.7391357571253,34.973217774513024,0.44,2.625,0.5751633986928104,61.707843137254905,55.537058823529414,46.8,0.6297275821833025,0.7472909780878851,0.008295703125000001,2.0,45000.0,41000.0,86000.0,1592.5925925925926,2654.320987654321,40.249223594996224,40.0,2.0,1.0,97024.03985384939,46642.24320585341,143666.2830597028,151.0,301.0,21.0,0.0,51.0,0.0,7.0,3.0,215100.35158105503,107.55017579052752,True,
SRC,10,6,#6,15,19.0,9.5,100.0,#57 stone,140.0,26.630370211515178,5.499039842323396,5.136027579968186,485.7391357571253,34.973217774513024,0.35200000000000004,2.625,0.46013071895424845,50.581019607843146,45.52291764705883,46.8,0.7682551906198524,0.7472909780878851,0.011119628906249995,2.0,45000.0,41000.0,86000.0,1592.5925925925926,2654.320987654321,40.249223594996224,40.0,2.0,1.0,77715.94008701202,37758.00640473847,115473.94649175048,121.0,241.0,17.0,0.0,51.0,0.0,7.0,3.0,172890.15877514865,86.44507938757432,True,
SRC,10,6,#6,18,19.0,9.5,100.0,#57 stone,140.0,26.630370211515178,5.499039842323396,5.136027579968186,485.7391357571253,34.973217774513024,0.29333333333333333,2.625,0.38344226579520696,42.82570806100218,38.543137254901964,46.8,0.9073785961744743,0.7472909780878851,0.013943554687499998,2.0,45000.0,41000.0,86000.0,1592.5925925925926,2654.320987654321,40.249223594996224,40.0,2.0,1.0,64843.87357578709,33315.88800418101,98159.7615799681,101.0,201.0,15.0,0.0,51.0,0.0,7.0,3.0,146966.97636556334,73.48348818278167,True,
SRC,10,8,#3,6,19.0,9.5,100.0,#57 stone,140.0,33.04313589136511,5.499039842323396,5.201089693986001,303.195774107541,38.80905908576525,0.22,4.8125,0.2875816993464052,61.62696078431372,55.46426470588235,83.2,0.6997128564051673,0.4664550370885246,0.038417578125,2.0,45000.0,41000.0,86000.0,2123.456790123457,2654.320987654321,20.124611797498112,40.0,2.0,1.0,187007.26934401813,87556.71360571406,274563.9829497322,301.0,601.0,41.0,0.0,51.0,0.0,7.0,3.0,102770.82417354561,51.3854120867728,True,
SRC,10,8,#3,8,19.0,9.5,100.0,#57 stone,140.0,33.04313589136511,5.499039842323396,5.201089693986001,303.195774107541,38.80905908576525,0.165,4.8125,0.21568627450980393,46.57610294117647,41.918492647058834,83.2,0.9258219137917462,0.4664550370885246,0.052223437500000004,2.0,45000.0,41000.0,86000.0,2123.456790123457,2654.320987654321,20.124611797498112,40.0,2.0,1.0,140372.1446354714,66201.41760432038,206573.5622397918,226.0,451.0,31.0,0.0,51.0,0.0,7.0,3.0,77321.63197725541,38.660815988627704,True,
SRC,10,8,#4,6,19.0,9.5,100.0,#57 stone,140.0,33.04313589136511,5.499039842323396,5.201089693986001,303.195774107541,38.80905908576525,0.4000000000000001,4.75,0.5228758169934641,107.72549019607845,96.9529411764706,83.2,0.4002875891627285,0.4664550370885246,0.019483828124999998,2.0,45000.0,41000.0,86000.0,2123.456790123457,2654.320987654321,26.83281572999748,40.0,2.0,1.0,189193.02579202416,88725.61814095205,277918.6439329762,301.0,601.0,41.0,0.0,51.0,0.0,7.0,3.0,189139.07712105327,94.56953856052664,True,
SRC,10,8,#4,8,19.0,9.5,100.0,#57 stone,140.0,33.04313589136511,5.499039842323396,5.201089693986001,303.195774107541,38.80905908576525,0.30000000000000004,4.75,0.39215686274509814,81.97058823529413,73.77352941176471,83.2,0.5260566953378856,0.4664550370885246,0.02697843749999999,2.0,45000.0,41000.0,86000.0,2123.456790123457,2654.320987654321,26.83281572999748,40.0,2.0,1.0,142012.85951396188,67085.22347242717,209098.08298638905,226.0,451.0,31.0,0.0,51.0,0.0,7.0,3.0,142302.86203240367,71.15143101620184,True,
