alternative_id,module,subbase_thickness_in,pavement_thickness_in,bar_size,bar_spacing_in,fe3_psi,n_simulations,random_seed,total_present_worth_mean,total_present_worth_std,total_present_worth_p05,total_present_worth_p50,total_present_worth_p95,total_present_worth_min,total_present_worth_max,gwp_total_project_kgco2e_mean,gwp_total_project_kgco2e_std,gwp_total_project_kgco2e_p05,gwp_total_project_kgco2e_p50,gwp_total_project_kgco2e_p95,gwp_total_project_kgco2e_min,gwp_total_project_kgco2e_max,demand_capacity_ratio_k_mean,demand_capacity_ratio_k_std,demand_capacity_ratio_k_p05,demand_capacity_ratio_k_p50,demand_capacity_ratio_k_p95,demand_capacity_ratio_k_min,demand_capacity_ratio_k_max
33,SRC,4,10,#3,6.0,nan,50000,42,769824.5301423669,67732.82837985008,662622.8186663726,770281.0051375694,877346.062475888,598489.077808977,1003937.2887855076,1014709.167408207,85236.6522613248,885989.5257692729,1008604.8287180767,1165633.3316903561,838890.260768399,1271680.6874514173,0.5279686854751436,0.011771209831994698,0.5111409338234048,0.5269081277902556,0.5480016577463191,0.5096379022008571,0.5509328917755494
34,SRC,4,10,#3,8.0,nan,50000,42,728477.7077440198,66501.37027729837,623814.2339508478,729004.531827428,833171.2637538891,565008.7761612274,957634.7018829387,1004393.8547656429,85167.74175868218,875817.4300398608,998412.1834874761,1155259.67961564,829578.5656097691,1258541.0118686587,0.7001839022223616,0.015610796361202578,0.6778671983319791,0.698777407029056,0.7267513201087478,0.675873901048274,0.7306386773277964
35,SRC,4,10,#3,10.0,nan,50000,42,703669.6143050117,65917.55520472024,600132.5257498663,703960.1907652792,807058.2979507598,544920.5951725775,929853.1497413974,998204.6671801044,85134.32966909918,869638.7019887294,992253.9480536173,1148882.2260074425,823991.5485145913,1250657.206519004,0.8724233249504748,0.01945092256953943,0.8446168973131258,0.8706708436249602,0.9055261069113616,0.8421332654582013,0.9103697217096286
36,SRC,4,10,#4,6.0,nan,50000,42,910145.4011520435,74084.39915499324,789163.6426521369,910298.1022886448,1031357.1292998934,712112.9264234419,1161076.7966677253,1049716.7827648735,85593.17797976773,920044.9979966304,1043444.7962345385,1200901.8583422129,868750.9450531808,1316273.490854635,0.2984449027140484,0.006653912759948526,0.28893267813944185,0.29784540118337677,0.30976894261456567,0.2880830593292587,0.31142588151786155
37,SRC,4,10,#4,8.0,nan,50000,42,834051.4861804136,70248.76623488656,721066.279569809,834372.4445741279,947192.7568530912,650496.408417206,1075862.385828951,1030732.675218064,85376.38859748034,901726.8611835657,1024434.5854347249,1181839.3205560667,853074.8215181126,1292091.4788268087,0.39395818455164494,0.008783408150837063,0.3814017002881155,0.39316682060971964,0.408906331296415,0.380280172391419,0.4110935512365755
38,SRC,4,10,#4,10.0,nan,50000,42,788395.1371974356,68387.21671754541,679725.8653968673,788741.2035637875,897465.0747769801,613526.4976134645,1024733.7393256864,1019342.210689978,85272.97337822082,890622.8468065072,1013191.5384021373,1170279.5236223345,843072.5369815866,1277582.2716101129,0.4895186735553433,0.01091395603872598,0.473916424986255,0.48853535237471674,0.5080927183487982,0.47252285361275764,0.5108104814157076
39,SRC,4,10,#4,12.0,nan,50000,42,757957.5712087838,67347.08192973319,651513.5739147684,758386.5077292871,864562.6965732066,588879.8904109702,990647.9749901766,1011748.5676712542,85215.18467480327,883001.9238923334,1005616.0181460748,1162609.0091738484,836217.7094660304,1267909.4667989826,0.5851023000135702,0.013045019782649027,0.5664535496873482,0.5839269751168549,0.6073031207713852,0.5647878689688899,0.6105515554220827
40,SRC,4,10,#4,15.0,nan,50000,42,727520.005220132,66476.63778303865,622954.9305711669,728019.0959672749,832161.3472164726,564233.2832084758,956562.2106546668,1004154.9246525303,85166.34139441159,875612.1424268386,998167.8918046451,1154991.0939863287,829362.8819504741,1258236.661987852,0.7285005585674244,0.01624212415155864,0.7052813283081655,0.7270371822591525,0.7561424090991151,0.7032074186110685,0.7601869778137621
41,SRC,4,10,#4,18.0,nan,50000,42,708823.4596582145,66029.04401126051,605118.9131051581,709180.4357317075,812463.1057689606,549093.8855746466,935624.7268181065,999490.4619049691,85140.78076339034,870946.8652313657,993546.3536339403,1150305.0226967782,825152.2431953428,1252295.055621224,0.871913870522143,0.01943956414025998,0.8441236805383399,0.8701624125637786,0.9049973220062097,0.8416414990082871,0.9098381083599162
42,SRC,4,10,#5,6.0,nan,50000,42,1084904.5420779404,85698.47101571629,942326.7363185873,1084749.0976600768,1227473.1507562867,853622.9243993575,1362525.22580048,1093316.1471471922,86299.02361508695,962844.3914912869,1087107.2154272376,1245659.2240783698,903309.7384635903,1371810.489436167,0.19886769913350402,0.004433811094685984,0.19252926213025703,0.19846822342141288,0.2064134328332,0.19196312165881613,0.20751752817644986
