alternative_id,output,parameter,spearman_rho,abs_spearman_rho
15,total_present_worth,fiber_unit_cost,0.0024795924406398376,0.0024795924406398376
15,total_present_worth,demolition_cost,0.04590907303865163,0.04590907303865163
15,total_present_worth,crushing_cost,0.0395054854292742,0.0395054854292742
15,total_present_worth,recycled_aggregate_credit,-0.027206456890018584,0.027206456890018584
15,total_present_worth,discount_rate,-0.19327788513524133,0.19327788513524133
15,gwp_total_project_kgco2e,concrete_gwp_factor,0.9907816634040247,0.9907816634040247
15,gwp_total_project_kgco2e,stone_57_gwp_factor,0.01114671958170669,0.01114671958170669
15,gwp_total_project_kgco2e,rebar_gwp_factor,0.12812614696193847,0.12812614696193847
15,gwp_total_project_kgco2e,trucking_gwp_factor,0.03624817064899528,0.03624817064899528
15,gwp_total_project_kgco2e,demolition_gwp_factor,0.022163423971713374,0.022163423971713374
15,gwp_total_project_kgco2e,crushing_gwp_factor,0.025349513901275808,0.025349513901275808
15,demand_capacity_ratio_k,subgrade_k_pci,-1.0,1.0
16,total_present_worth,concrete_unit_cost,0.8453432803710973,0.8453432803710973
16,total_present_worth,stone_57_unit_cost,0.1446882549760193,0.1446882549760193
16,total_present_worth,rebar_unit_cost,0.4418580527942472,0.4418580527942472
16,total_present_worth,fiber_unit_cost,0.0019234359883213744,0.0019234359883213744
16,total_present_worth,demolition_cost,0.049265305634618124,0.049265305634618124
16,total_present_worth,crushing_cost,0.041531931168964774,0.041531931168964774
16,total_present_worth,recycled_aggregate_credit,-0.0308879845927392,0.0308879845927392
16,total_present_worth,discount_rate,-0.20717545945273075,0.20717545945273075
16,gwp_total_project_kgco2e,concrete_gwp_factor,0.9943710248265805,0.9943710248265805
16,gwp_total_project_kgco2e,stone_57_gwp_factor,0.011154666223437868,0.011154666223437868
16,gwp_total_project_kgco2e,rebar_gwp_factor,0.09852602622725042,0.09852602622725042
16,gwp_total_project_kgco2e,trucking_gwp_factor,0.034793496645213404,0.034793496645213404
16,gwp_total_project_kgco2e,demolition_gwp_factor,0.022206682939346675,0.022206682939346675
16,gwp_total_project_kgco2e,crushing_gwp_factor,0.025569998540884,0.025569998540884
16,demand_capacity_ratio_k,subgrade_k_pci,-1.0,1.0
17,total_present_worth,concrete_unit_cost,0.8781773046609671,0.8781773046609671
17,total_present_worth,stone_57_unit_cost,0.14986135596157657,0.14986135596157657
17,total_present_worth,rebar_unit_cost,0.3674095728273478,0.3674095728273478
17,total_present_worth,fiber_unit_cost,0.0015956296137262518,0.0015956296137262518
17,total_present_worth,demolition_cost,0.05116136151400055,0.05116136151400055
17,total_present_worth,crushing_cost,0.04251908379831963,0.04251908379831963
17,total_present_worth,recycled_aggregate_credit,-0.033060835469928336,0.033060835469928336
17,total_present_worth,discount_rate,-0.21497874953605006,0.21497874953605006
17,gwp_total_project_kgco2e,concrete_gwp_factor,0.9960566622201827,0.9960566622201827
17,gwp_total_project_kgco2e,stone_57_gwp_factor,0.011140585996552235,0.011140585996552235
17,gwp_total_project_kgco2e,rebar_gwp_factor,0.08064382915104154,0.08064382915104154
17,gwp_total_project_kgco2e,trucking_gwp_factor,0.033889232111251694,0.033889232111251694
17,gwp_total_project_kgco2e,demolition_gwp_factor,0.022218194265847282,0.022218194265847282
17,gwp_total_project_kgco2e,crushing_gwp_factor,0.02569397001350959,0.02569397001350959
17,demand_capacity_ratio_k,subgrade_k_pci,-1.0,1.0
18,total_present_worth,concrete_unit_cost,0.8973032352581534,0.8973032352581534
18,total_present_worth,stone_57_unit_cost,0.15308308445038524,0.15308308445038524
18,total_present_worth,rebar_unit_cost,0.3141367338596067,0.3141367338596067
18,total_present_worth,fiber_unit_cost,0.0013372725647589092,0.0013372725647589092
18,total_present_worth,demolition_cost,0.05234579719210632,0.05234579719210632
18,total_present_worth,crushing_cost,0.043040302251488124,0.043040302251488124
18,total_present_worth,recycled_aggregate_credit,-0.034466604044602646,0.034466604044602646
18,total_present_worth,discount_rate,-0.21981403752519624,0.21981403752519624
18,gwp_total_project_kgco2e,concrete_gwp_factor,0.9969811973458645,0.9969811973458645
18,gwp_total_project_kgco2e,stone_57_gwp_factor,0.011136510400454606,0.011136510400454606
18,gwp_total_project_kgco2e,rebar_gwp_factor,0.06868700793208281,0.06868700793208281
18,gwp_total_project_kgco2e,trucking_gwp_factor,0.03328309981600124,0.03328309981600124
18,gwp_total_project_kgco2e,demolition_gwp_factor,0.022223607981081445,0.022223607981081445
18,gwp_total_project_kgco2e,crushing_gwp_factor,0.025766391280450558,0.025766391280450558
18,demand_capacity_ratio_k,subgrade_k_pci,-1.0,1.0
19,total_present_worth,concrete_unit_cost,0.9137296477103238,0.9137296477103238
19,total_present_worth,stone_57_unit_cost,0.15603294435831722,0.15603294435831722
19,total_present_worth,rebar_unit_cost,0.2581367096152867,0.2581367096152867
19,total_present_worth,fiber_unit_cost,0.0010534213174453687,0.0010534213174453687
19,total_present_worth,demolition_cost,0.053417496836599,0.053417496836599
19,total_present_worth,crushing_cost,0.0434395041667198,0.0434395041667198
19,total_present_worth,recycled_aggregate_credit,-0.035827854970587145,0.035827854970587145
19,total_present_worth,discount_rate,-0.2242168118006685,0.2242168118006685
19,gwp_total_project_kgco2e,concrete_gwp_factor,0.9977459992401865,0.9977459992401865
19,gwp_total_project_kgco2e,stone_57_gwp_factor,0.011129622805475851,0.011129622805475851
19,gwp_total_project_kgco2e,rebar_gwp_factor,0.05669282998398913,0.05669282998398913
19,gwp_total_project_kgco2e,trucking_gwp_factor,0.03266162183434465,0.03266162183434465
19,gwp_total_project_kgco2e,demolition_gwp_factor,0.022225282533178115,0.022225282533178115
19,gwp_total_project_kgco2e,crushing_gwp_factor,0.025855648664230263,0.025855648664230263
19,demand_capacity_ratio_k,subgrade_k_pci,-1.0,1.0
20,total_present_worth,concrete_unit_cost,0.6345232376204973,0.6345232376204973
20,total_present_worth,stone_57_unit_cost,0.11356908146622764,0.11356908146622764
20,total_present_worth,rebar_unit_cost,0.7311599700537119,0.7311599700537119
20,total_present_worth,fiber_unit_cost,0.0034832839232173136,0.0034832839232173136
20,total_present_worth,demolition_cost,0.03802225809911291,0.03802225809911291
20,total_present_worth,crushing_cost,0.03415317055222127,0.03415317055222127
20,total_present_worth,recycled_aggregate_credit,-0.019169856557171943,0.019169856557171943
20,total_present_worth,discount_rate,-0.16037206486108782,0.16037206486108782
20,gwp_total_project_kgco2e,concrete_gwp_factor,0.9789989143556316,0.9789989143556316
20,gwp_total_project_kgco2e,stone_57_gwp_factor,0.01114342388394537,0.01114342388394537
20,gwp_total_project_kgco2e,rebar_gwp_factor,0.19470085618610433,0.19470085618610433
20,gwp_total_project_kgco2e,trucking_gwp_factor,0.039403121586833255,0.039403121586833255
20,gwp_total_project_kgco2e,demolition_gwp_factor,0.021952762575789105,0.021952762575789105
20,gwp_total_project_kgco2e,crushing_gwp_factor,0.024736607246598645,0.024736607246598645
20,demand_capacity_ratio_k,subgrade_k_pci,-1.0,1.0
21,total_present_worth,concrete_unit_cost,0.7349067060003948,0.7349067060003948
21,total_present_worth,stone_57_unit_cost,0.1285697292208039,0.1285697292208039
21,total_present_worth,rebar_unit_cost,0.6184043806501138,0.6184043806501138
21,total_present_worth,fiber_unit_cost,0.0028342363837256953,0.0028342363837256953
21,total_present_worth,demolition_cost,0.04338437446423375,0.04338437446423375
21,total_present_worth,crushing_cost,0.03785981051037592,0.03785981051037592
21,total_present_worth,recycled_aggregate_credit,-0.02456986811609995,0.02456986811609995
21,total_present_worth,discount_rate,-0.18280474649094328,0.18280474649094328
21,gwp_total_project_kgco2e,concrete_gwp_factor,0.9875691486263878,0.9875691486263878
21,gwp_total_project_kgco2e,stone_57_gwp_factor,0.011156103546958443,0.011156103546958443
21,gwp_total_project_kgco2e,rebar_gwp_factor,0.1494577053865671,0.1494577053865671
21,gwp_total_project_kgco2e,trucking_gwp_factor,0.03728410538816165,0.03728410538816165
21,gwp_total_project_kgco2e,demolition_gwp_factor,0.022105183262506073,0.022105183262506073
21,gwp_total_project_kgco2e,crushing_gwp_factor,0.025162379068688956,0.025162379068688956
21,demand_capacity_ratio_k,subgrade_k_pci,-1.0,1.0
22,total_present_worth,concrete_unit_cost,0.7968929299153331,0.7968929299153331
22,total_present_worth,stone_57_unit_cost,0.1374956858825183,0.1374956858825183
22,total_present_worth,rebar_unit_cost,0.5292178331596872,0.5292178331596872
22,total_present_worth,fiber_unit_cost,0.0023508487006843395,0.0023508487006843395
22,total_present_worth,demolition_cost,0.04662715131977086,0.04662715131977086
22,total_present_worth,crushing_cost,0.039967094909042836,0.039967094909042836
22,total_present_worth,recycled_aggregate_credit,-0.027983706658809487,0.027983706658809487
22,total_present_worth,discount_rate,-0.1963044109456127,0.1963044109456127
22,gwp_total_project_kgco2e,concrete_gwp_factor,0.9916287235139316,0.9916287235139316
22,gwp_total_project_kgco2e,stone_57_gwp_factor,0.01114562064561025,0.01114562064561025
